slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide,label
AS/KRP/78N16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of Cow bazaar,26.195306,91.765639,Debris,Slide,24 August 2018,2018-08-24,1,1
AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),Karghuli,Chandmari Road,26.19622,91.76336,Earth/Soil,Flow,23 March 2011,2011-03-23,1,1
AS/NC/83G04/2009/B-5,Assam,Dima Hasao,Phaiding Landslide,,26.20261,91.14528,Debris,Slide,20 August 2009,2009-08-20,1,1
ASM/KAM/78N16/2017/09,Assam,Kamrup (Metro),Panikhaiti–Bongaon slide,"Panikhaiti, Bongaon, near railway line.",26.20536,91.86497,Debris,Slide,03 July 2017,2017-07-03,1,1
ASM/KAM/78N16/2017/07,Assam,Kamrup (Metro),Bonda colony slide no. 1,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.37456,91.84561,Earth/Soil,Slide,04 July 2017,2017-07-04,1,1
AS/UDA/83B01/2021/02,Assam,Udalguri,Udalguri Slope Failure (AS/UDA/83B01/2021/02),,26.88969,92.12266,Rock-cum-Debris,Fall,28 April 2021,2021-04-28,1,1
AS/UDA/83B01/2021/01,Assam,Udalguri,Udalguri Slope Failure (AS/UDA/83B01/2021/01),,26.89074,92.12068,Rock-cum-Debris,Fall,28 April 2021,2021-04-28,1,1
AS/KAM(M)/76N16/2024/2,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile, Guwahati",26.11464,91.83886,Earth/Soil,Slide,05 July 2024,2024-07-05,1,1
AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19044,91.77502,Earth/Soil,Slide,24 May 2024,2024-05-24,1,1
ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,South Bagetar Slide 1,South Bagetar,25.16736,93.00953,Debris,Slide,15 May 2022,2022-05-15,1,1
ASM/DH/83G04/2022-23/017,Assam,Dima Hasao,Kana Basti Slide 2,"Kana Basti, Haflong",25.16023,93.01084,Debris,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83G04/2022-23/015,Assam,Dima Hasao,South Bagetar Slide 2,South Bagetar,25.16579,93.00948,Debris,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83G04/2022-23/016,Assam,Dima Hasao,Kana Basti Slide 1,"Kana Basti, Haflong",25.15859,93.01292,Debris,Slide,14 May 2022,2022-05-14,1,1
AS/KAMRUP(M)/78N16/2014- 15/0006,Assam,Kamrup (Metro),"Dakhingaon, slide.",Near Kahilipara-Ganesh mandir road.,26.13441667,91.74875,Debris,Flow,22 September 2014,2014-09-22,1,1
AS/KAMRUP(M)/78N16/2014- 15/0007,Assam,Kamrup (Metro),Ganeshpur-Lalmati Slide,"About 500 m south of Game village, Lalmati, NH-37",26.10711111,91.78916667,Earth/Soil,Flow,23 September 2014,2014-09-23,1,1
AS/KAMRUP/78N12/2015- 16/0004,Assam,Kamrup,Jorabat-Khanapara,"About 200 m North of NH-31, In front of IIT(G) approach",26.09961111,91.87811111,Earth/Soil,Slide,25 September 2014,2014-09-25,1,1
ASM/DH/83G04/2022-23/027,Assam,Dima Hasao,Mahadev Tilla Slide 1,"Mahadev Tilla, Haflong",25.15556,93.021583,Debris,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83G04/2022-23/026,Assam,Dima Hasao,Lower Songpijang Slide 1,"Lower Sonpijang, Haflong",25.158138,93.024778,Earth/Soil,Slide,15 May 2022,2022-05-15,1,1
ASM/DH/83G4/ PD/2016/55,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -1,"NH 54, near Nutan Lampur",25.24194444,93.14319444,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/04,Assam,Dima Hasao (N.C. Hills),Mupa – Langting RF Rock slide,"NH 54, Mupa – Langting Reserved Forest,",25.41733333,93.12908333,Rock,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G04/2022-23/025,Assam,Dima Hasao,Tularam Raji Slide 2,"Tularam Raji, Haflong",25.16804,93.02503,Debris,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83G04/2022-23/044,Assam,Dima Hasao,Tularam Raji Slide 3,"Tularam Raji, Haflong",25.168083,93.024922,Earth/Soil,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83G4/ PD/2016/56,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -2,"NH 54, near Nutan Lampur,",25.27480556,93.14555556,Rock,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/53,Assam,Dima Hasao (N.C. Hills),Mahur railway station slide,"Mahur railway station, Haflong, Dima Hasao (NC Hills)",25.18955556,93.09641667,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/KAMRUP(M)/78N16/2016- 17/62,Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,"Njiura Par Path, Piyali Phukan Nagar, Guwahati.",26.19552778,91.78055556,Earth/Soil,Slide,22 June 2016,2016-06-22,1,1
ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,Moulhoi Slide 3,Moulhoi village,25.17483,93.019861,Debris,Slide,15 May 2022,2022-05-15,1,1
ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,Mahadev Tilla slide 2,Mahadev Tilla village,25.1568056,93.019722,Debris,Slide,13 May 2022,2022-05-13,1,1
ASM/DH/83G04/2022-23/047,Assam,Dima Hasao,Natun Basti Slide 5,"Natun Basti, Haflong",25.162667,93.009806,Debris,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83G4/ PD/2016 /01,Assam,Dima Hasao (N.C. Hills),Migrendisa slide,"Near Migrendisa Railway Station, Migrendisa.",25.17986111,93.07077778,Debris,Slide,17 May 2016,2016-05-17,1,1
ASM/DH/83G4/PD/2016/02,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(1),West slope of New Haflong Railway Station.,25.14677778,93.03097222,Debris,Slide,17 May 2016,2016-05-17,1,1
ASM/DH/83G4/ PD/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,"Haflong town, Dima Hasao (NC Hills)",25.15561111,93.02222222,Debris,Slide,17 May 2016,2016-05-17,1,1
ASM/DH/83G4/PD/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,"Haflong town, Dima Hasao (NC Hills)",25.15658333,93.01961111,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/29,Assam,Dima Hasao (N.C. Hills),Haflong-Jatinga road section slide-04,"Haflong town,",25.15713889,93.01719444,Debris,Slide,27 May 2016,2016-05-27,1,1
ASM/DH/83G4/ PD/2016/42,Assam,Dima Hasao (N.C. Hills),96 km Migrendisa slide,"96 km, Migrendisa – Haflong rail section, near Diyung bridge.",25.164,93.04019444,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/PD/2016/43,Assam,Dima Hasao (N.C. Hills),New Haflong R.S. slide - (2),New Haflong Railway Station,25.14872222,93.03191667,Debris,Creep,17 May 2016,2016-05-17,1,1
ASM/DH/83G4/PD/2016/44,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(3),"New Haflong Railway Station, Dima Hasao (NC Hills)",25.14525,93.02916667,Debris,Slide,17 May 2016,2016-05-17,1,1
ASM/DH/83G4/ PD/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,"Mahadev Tilla, Haflong,Dima Hasao (NC Hills)",25.15572222,93.02277778,Earth/Soil,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016 /35,Assam,Dima Hasao,Haflong – Gunjung road section soil creep-6,Haflong – Gunjung road section,25.23230556,93.03333333,Earth/Soil,Creep,17 May 2016,2016-05-17,1,1
ASM/DH/83G4/ PD/2016/07,Assam,Dima Hasao (N.C. Hills),Haflong – Gunjung slide-1,Near Gunjung village road section,25.20552778,93.02013889,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/31,Assam,Dima Hasao,Haflong – Gunjung road section slide- 02,Haflong – Gunjung road section,25.24597222,93.02827778,Debris,Slide,22 May 2016,2016-05-22,1,1
AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19052,91.77499,Earth/Soil,Slide,24 May 2024,2024-05-24,1,1
ASM/DH/83G4/ PD/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,"Haflong town, Dima Hasao (NC Hills)",25.15933333,93.017,Earth/Soil,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,"Haflong town, Dima Hasao (NC Hills)",25.15736111,93.01608333,Rock,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/33,Assam,Dima Hasao,Haflong – Gunjung road section slide- 04,Haflong – Gunjung road section,25.23880556,93.03219444,Rock,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/40,Assam,Dima Hasao (N.C. Hills),Lungkok slide (Haflong – Gunjung road 11),"-Haflong – Gunjung road section, Lungkok village, Lower Haflong",25.19669444,93.01858333,Rock,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/41,Assam,Dima Hasao (N.C. Hills),Lower Haflong slide (Haflong – Gunjung road-12),"Haflong – Gunjung road section, Lower Haflong",25.18844444,93.01966667,Rock,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD /2016/03,Assam,Dima Hasao (N.C. Hills),Heuwangberam subsidence zone-1,"NH 54, Heuwangberam,",25.20738889,93.12277778,Debris,Subsidence,20 August 2014,2014-08-20,1,1
ASM/DH/83G4/ PD/2016/10,Assam,Dima Hasao,N.D Raji.-1,"N.D Raji village, Haflong, Dima Hasao (NC Hills)",25.17597222,93.02016667,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/11,Assam,Dima Hasao,N.D Raji (Hamar)-2,"N.D Raji (Hamar)village, Haflong, Dima Hasao (NC Hills)",25.17505556,93.02041667,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3","N.D Raji (Hmar)village, Haflong, Dima Hasao (NC Hills)",25.17188889,93.02061111,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/13,Assam,Dima Hasao,Songpiang-1,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16563889,93.02544444,Debris,Fall,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/14,Assam,Dima Hasao,Songpiang-2,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16344444,93.02316667,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/15,Assam,Dima Hasao,Boro Haflong-1,"Near Boro Haflong village, Haflong, Dima Hasao (NC Hills)",25.15069444,93.02583333,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/16,Assam,Dima Hasao,"Vidya Mandir, Boro Haflong-2","Boro Haflong, Haflong, Dima Hasao (NC Hills)",25.14586111,93.02419444,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp, Boro Haflong-3.","Boro Haflong, Haflong, Dima Hasao (NC Hills)",25.14041667,93.02038889,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/18,Assam,Dima Hasao,Jatinga-Haflong Road section-1.,"Jatinga-Haflong Road section, Haflong, Dima Hasao (NC Hills)",25.13961111,93.01955556,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/23,Assam,Dima Hasao,Mahur,"Mahur, Dima Hasao (NC Hills)",25.17638889,93.11613889,Debris,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/05,Assam,Dima Hasao (N.C. Hills),Khongsai slide-1,"Khongsai village, Haflong,",25.1775,93.02622222,Earth/Soil,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/08,Assam,Dima Hasao,Khongsai slide- 2,"Khongsai village, Haflong, Dima Hasao (NC Hills)",25.17691667,93.02655556,Earth/Soil,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/09,Assam,Dima Hasao,Muolhoi /Gilgal,"Muolhoi /Gilgal village, Haflong, Dima Hasao (NC Hills)",25.17702778,93.02088889,Earth/Soil,Slide,22 May 2016,2016-05-22,1,1
ASM/DH/83G4/ PD/2016/19,Assam,Dima Hasao,Jatinga-2,"Jatinga, Haflong, Dima Hasao (NC Hills)",25.13447222,93.01897222,Rock,Slide,22 May 2016,2016-05-22,1,1
ASM/KAM (M)/78N16/2017/0006,Assam,Kamrup (Metro),"Bonda, Hajongdisa slide",Tuinang colony,26.18841667,91.85125,Earth/Soil,Slide,16 June 2017,2017-06-16,1,1
ASM/KAM(M)/78N16/2016/63,Assam,Kamrup (Metro),Mandakini slide,"Mandakini path, Kharghuli",26.19244444,91.76422222,Earth/Soil,Slide,20 July 2016,2016-07-20,1,1
ASM/KAM/78N16/2019/03,Assam,Kamrup (Metro),Amiya Nagar Slide,Chandmari,26.19236111,91.78080556,Debris,Subsidence,10 July 2019,2019-07-10,1,1
ASM/KAM/78N12/2019/04,Assam,Kamrup (Metro),Bezbaruah Nagar slide,"Nilachalpur, Bezbaruah Nagar",26.15805556,91.71258333,Debris,Slide,16 July 2019,2019-07-16,1,1
ASM/West Sarania/78N16/2016- 17/65,Assam,Kamrup (Metro),West Sarania slide (Guwahati),"Pub Sarania hill, Guwahati.",26.1755,91.76175,Debris,Slide,14 July 2016,2016-07-14,1,1
ASM/ Nijabara/78N16/2016- 17/64,Assam,Kamrup (Metro),Nijabara slide (Guwahati),"Noonmati, Guwahati.",26.19038889,91.80994444,Earth/Soil,Slide,14 July 2016,2016-07-14,1,1
AS/KAMRUP(M)/78N16/2014- 15/0004,Assam,Kamrup (Metro),"Nabragraha Slide, Bapuji Nagar Housing Complex.","SH: Chandmari Road. Localtiy: Bapuji Nagar Housing Complex, Guwahati.",26.18866667,91.76694444,Earth/Soil,Flow,27 June 2014,2014-06-27,1,1
AS/KAMRUP(M)/78N16/2014- 15/0005,Assam,Kamrup (Metro),"Karghuli Landslide, Bankuwar Nagar, Guwahati.(Twin Slide in same road)","SH: Chandmari Road. Localtiy: Bankuwar Nagar, Karghuli Pahar, Guwahati.",26.19622222,91.76336111,Earth/Soil,Flow,27 June 2014,2014-06-27,1,1
AS/KAM/76N16/2024/1,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile, Guwahati",26.11464,91.83886,Earth/Soil,Slide,05 July 2024,2024-07-05,1,1
ASM/KAM (M)/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17755556,91.76588889,Debris,Slide,13 June 2017,2017-06-13,1,1
ASM/KAM (M)/78N16/2017/04,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672222,91.76525,Debris,Slide,13 June 2017,2017-06-13,1,1
ASM/KAM (M)/78N16/2017/0003,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15427778,91.79263889,Debris,Slide,13 June 2017,2017-06-13,1,1
AS/KAMRUP (M)/78N16/2014- 15/0002,Assam,Kamrup (Metro),Udayachal Slide.,"Guwahati-Shillong Road (Merges with NH-37), Udayachal pahar, Near Guwahati Medical College.",26.15477778,91.77411111,Earth/Soil,Flow,27 june 2014,2014-06-27,1,1
AS/KAMRUP(M)/78N16/2014- 15/0003,Assam,Kamrup (Metro),"Bamunimaidan, South Railway Colony slide.","SH: Zoo Tiniali-Narengi Road. Localtiy: Bamunimaidan, South Railway Colony (Near Hatigar), Guwahati.",26.17672222,91.78672222,Earth/Soil,Flow,27 june 2014,2014-06-27,1,1
ASM/KAMRUP(M)/78N16/2016- 17/057,Assam,Kamrup (Metro),Jyotinagar Slide,"Akashi Nagar, Jyoti Nagar, Guwahati.",26.1895,91.78716667,Earth/Soil,Slide,18 April 2016,2016-04-18,1,1
ASM/DH/83G3/ PD/2017 /02,Assam,Dima Hasao (N.C. Hills),Mupa slide,"Between Mupa and Dinhaku Railway Station,",25.40586111,93.11097222,Debris,Slide,20 May 2017,2017-05-20,1,1
ASM/DH/83G3/ PD/2017 /01,Assam,Dima Hasao (N.C. Hills),Boila bridge slide,"Between Mupa and Dinhaku Bridge approach no102, at km 51/9 as 52/1",25.39155556,93.11316667,Earth/Soil,Subsidence,03 June 2017,2017-06-03,1,1
AS/KRP/78N/16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of cow bazaar.,26.11266667,91.85388889,Debris,Slide,24 August 2018,2018-08-24,1,1
AS/KRP/78N16/2018/002,Assam,Kamrup,Kharghuli slide,"Kharghuli area, near Kharghuli post office in Guwahati.",26.19530556,91.76563889,Debris,Slide,31 August 2018,2018-08-31,1,1
AS/KAMRUP/78N12/2015- 16/0001,Assam,Kamrup,Jayguru Kalipahar Slide,"About 200 m North of NH-31, In north of IIT(G) approach",26.21111111,91.68416667,Debris,Fall,01 September 2015,2015-09-01,1,1
ASM/KAM/78N16/2020/001,Assam,Kamrup (Metro),Hirimbapur landslide,Kharghuli,26.19330556,91.77725,Debris,Slide,28 June 2020,2020-06-28,1,1
ASM/KAM/78N16/2020/002,Assam,Kamrup (Metro),Ambher landslide,12th mile near Jorabat,26.09150556,91.87898611,Earth/Soil,Slide,12 July 2020,2020-07-12,1,1
ASM/KAM/78N12/2020/003,Assam,Kamrup (Metro),Gauripur landslide,NH-31,26.21305556,91.6925,Rock,Fall,26 June 2020,2020-06-26,1,1
ASM/K(M)/78N16/2022-23/003,Assam,Kamrup (Metro),Salbari,Near Noonmati bazaar road,26.1916,91.80361,Debris,Slide,16 June 2022,2022-06-16,1,1
ASM/K(M)/78N16/2022-23/001,Assam,Kamrup (Metro),Upper Luitpur,Upper Luitpur,26.19322,91.77033,Earth/Soil,Slide,16 June 2022,2022-06-16,1,1
ASM/K(M)/78N16/2022-23/002,Assam,Kamrup (Metro),Anandanagar,Anandanagar,26.18789,91.79493,Earth/Soil,Slide,17 June 2022,2022-06-17,1,1
ASM/DH/83G04/2022-23/023,Assam,Dima Hasao,Disgao Raji Slide,"Disgao Raji, Haflong",25.17136,93.01102,Debris,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83G04/2022-23/030,Assam,Dima Hasao,Merryland Slide,Merryland colony,25.177416,93.00975,Debris,Slide,16 May 2022,2022-05-16,1,1
ASM/DH/83G04/2022-23/022,Assam,Dima Hasao,Lower Haflong Slide 2,Lower Haflong,25.18919,93.02118,Debris,Slide,15 May 2022,2022-05-15,1,1
AS/KRM/83D06/2014-15/0001,Assam,Karimganj,"Satkaragul (Pathariya Hills RF),","NH-44. Satkaragul Village near Nilambazar, Nilambazar Circle, Karimganj.",24.70619444,92.28997222,Earth/Soil,Flow,10 May 2014,2014-05-10,1,1
ASM/DH/83G04/2022-23/021,Assam,Dima Hasao,Moulhoi Slide 1,"Gilgal Veng, Moulhoi, Haflong",25.17623,93.01326,Debris,Slide,14 May 2022,2022-05-14,1,1
AS/KAM(M)/78N16/2025/006,Assam,Kamrup,"Doimuguri, Bonda","Doimuguri,",26.19113889,91.82961111,Earth/Soil,Slide,31 May 2025,2025-05-31,1,1
AS/KAM(M)/78N16/2025/05,Assam,Kamrup,Rupnagar,,26.158193,91.755807,Debris,Slide,06 June 2025,2025-06-06,1,1
AS/KAM(M)/78N12/2025/01,Assam,Kamrup,Kamakhya Main Road,Kamakhya Road,26.166185,91.7147,Earth/Soil,Slide,04 June 2025,2025-06-04,1,1
AS/KAM(M)/78N12/2025/04,Assam,Kamrup,Pandu,Pandu,26.17027,91.698,Debris,Slide,31 May 2025,2025-05-31,1,1
ASM/DH/83C16/2023-24/001,Assam,Dima Hasao,Lower Boulsol slide,Lower Boulsol,25.117665,92.847709,Debris,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83C15/2023-24/001,Assam,Dima Hasao,Old Sangbar playground slide,Old Sangbar,25.366255,92.823037,Debris,Slide,14 May 2022,2022-05-14,1,1
ASM/DH/83G03/2023-24/004,Assam,Dima Hasao,Gunjung subsidence,Gunjung,25.316197,93.006158,Earth/Soil,Subsidence,16 June 2022,2022-06-16,1,1
6986,Assam,Kamrup,Sundarpur village,,25.757752,91.252285,Debris,Flow,17 July 2014,2014-07-17,1,1
7077,Assam,Kamrup (Metro),708,,26.238016,91.945953,Earth/Soil,Slide,2 November 2025,2025-11-02,1,1
7115,Assam,Kamrup,lepgaon,,25.872268,91.213965,Debris,Flow,23 September 2014,2014-09-23,1,1
7192,Assam,Kamrup,Kamrup Slope Failure (7192),,26.2272613,91.6922458,Debris,Slide,26 December 2008,2008-12-26,1,1
7193,Assam,Kamrup (Metro),Birkuchi,,26.184324,91.855395,Earth/Soil,Slide,31 May 2025,2025-05-31,1,1
7194,Assam,Kamrup,Kamrup Slope Failure (7194),,26.24698,91.964383,Debris,Slide,05 July 2025,2025-07-05,1,1
7195,Assam,Kamrup (Metro),Nalgedra,,26.11956,92.052125,Earth/Soil,Slide,05 June 2025,2025-06-05,1,1
7196,Assam,Dima Hasao,Dima Hasao Slope Failure (7196),,25.69814,93.129423,Earth/Soil,Slide,05 June 2025,2025-06-05,1,1
7197,Assam,Dima Hasao,Dima Hasao Slope Failure (7197),,25.648512,93.121528,Debris,Slide,05 June 2025,2025-06-05,1,1
7201,Assam,West Khasi Hills,Harsanagar,,25.740148,91.224044,Earth/Soil,Slide,18 July 2014,2014-07-18,1,1
7241,Assam,Kamrup (Metro),Amchong tea estate,,26.156633,91.938576,Earth/Soil,Slide,8 August 2024,2024-08-08,1,1
